# Gacesa et al., doi:10.5281/zenodo.3256699. Raw CSs_3pes, even j for 12C16O2 v=0.
# Includes elastic diagonals; independent variable is MOLSCAT total energy.
total_energy_eV,ji,jf,sigma_cm2
0.153740404768,6,16,2.541813000000e-16
0.153740404768,6,18,2.261680000000e-16
0.153740404768,6,20,1.930580000000e-16
0.153740404768,6,22,1.674940000000e-16
0.153740404768,6,24,1.580820000000e-16
0.153740404768,6,26,1.408190000000e-16
0.153740404768,6,28,1.183810000000e-16
0.153740404768,6,30,1.063733000000e-16
0.153740404768,6,32,9.870497000000e-17
0.153740404768,6,34,8.560447000000e-17
0.153740404768,6,36,7.336180000000e-17
0.153740404768,6,38,6.782220000000e-17
0.153740404768,6,40,6.169600000000e-17
0.153740404768,6,42,5.254287000000e-17
0.153740404768,6,44,4.571943000000e-17
0.153740404768,6,46,3.872210000000e-17
0.153740404768,6,48,2.900587000000e-17
0.153740404768,6,50,2.083445000000e-17
0.153740404768,6,52,1.662982000000e-17
0.153740404768,6,54,1.235315000000e-17
0.153740404768,8,0,2.888430000000e-17
0.153740404768,8,2,1.550933000000e-16
0.153740404768,8,4,3.603180000000e-16
0.153740404768,8,6,1.101382000000e-15
0.153740404768,8,8,2.328837000000e-14
0.153740404768,8,10,1.331263000000e-15
0.153740404768,8,12,5.894557000000e-16
0.153740404768,8,14,3.945650000000e-16
0.153740404768,8,16,3.058800000000e-16
0.153740404768,8,18,2.421990000000e-16
0.153740404768,8,20,2.110497000000e-16
0.153740404768,8,22,1.878810000000e-16
0.153740404768,8,24,1.616993000000e-16
0.153740404768,8,26,1.445137000000e-16
0.153740404768,8,28,1.326860000000e-16
0.153740404768,8,30,1.151527000000e-16
0.153740404768,8,32,1.020558000000e-16
0.153740404768,8,34,9.024873000000e-17
0.153740404768,8,36,7.843003000000e-17
0.153740404768,8,38,6.928507000000e-17
0.153740404768,8,40,6.265163000000e-17
0.153740404768,8,42,5.597610000000e-17
0.153740404768,8,44,4.824153000000e-17
0.153740404768,8,46,3.941933000000e-17
0.153740404768,8,48,2.982067000000e-17
0.153740404768,8,50,2.228278000000e-17
0.153740404768,8,52,1.794776000000e-17
0.153740404768,8,54,1.318890000000e-17
0.153740404768,10,0,1.525940000000e-17
0.153740404768,10,2,9.289743000000e-17
0.153740404768,10,4,2.074567000000e-16
0.153740404768,10,6,3.894180000000e-16
0.153740404768,10,8,1.091039000000e-15
0.153740404768,10,10,1.793723000000e-14
0.153740404768,10,12,1.061289000000e-15
0.153740404768,10,14,4.643483000000e-16
0.153740404768,10,16,3.037077000000e-16
0.153740404768,10,18,2.353907000000e-16
0.153740404768,10,20,1.971397000000e-16
0.153740404768,10,22,1.741697000000e-16
0.153740404768,10,24,1.499670000000e-16
0.153740404768,10,26,1.336240000000e-16
