#alt[m],O[m^-3],N2[m^-3],CO[m^-3],CO2[m^-3]
121830,1.61655E+015,3485190000000000,1017050000000000,1.07572E+017
122901,1474230000000000,3139440000000000,897161000000000,9.19522E+016
123283,1426560000000000,3024630000000000,857918000000000,8.69492E+016
123345,1419040000000000,3006560000000000,851768000000000,8.63258E+016
123483,1402280000000000,2966340000000000,838105000000000,8.49412E+016
123617,1386170000000000,2927740000000000,825029000000000,8.36159E+016
123898,1353110000000000,2848690000000000,801287000000000,8.0913E+016
124013,1339750000000000,2816830000000000,791732000000000,7.98281E+016
124082,1331810000000000,2797930000000000,786064000000000,7.91853E+016
124664,1266750000000000,2633480000000000,739862000000000,7.39674E+016
124801,1.25192E+015,2596250000000000,729403000000000,7.27918E+016
125466,1182290000000000,2422640000000000,680629000000000,6.73377E+016
125801,1148750000000000,2339780000000000,657350000000000,6.50345E+016
125983,1130860000000000,2295780000000000,643456000000000,6.38116E+016
126197,1110280000000000,2245350000000000,627571000000000,6.24098E+016
126266,1103710000000000,2229270000000000,622518000000000,6.1963E+016
127650,979794000000000,1895730000000000,529378000000000,5.36519E+016
127835,964324000000000,1855120000000000,518035000000000,5.2218E+016
127984,952052000000000,1823060000000000,509084000000000,5.10918E+016
127998,950911000000000,1820090000000000,508469000000000,5.09876E+016
128380,927601000000000,1.74047E+015,491910000000000,4.82134E+016
128449,923448000000000,1726460000000000,488975000000000,4.77283E+016
128716,907547000000000,1.68692E+015,477775000000000,4.58957E+016
129396,868373000000000,1590490000000000,450465000000000,4.15507E+016
130383,814401000000000,1460010000000000,413510000000000,3.70133E+016
130485,809056000000000,1447240000000000,409893000000000,3.65766E+016
130606,802720000000000,1432140000000000,405617000000000,3.60621E+016
131058,779473000000000,1377080000000000,384694000000000,3.42019E+016
131071,778912000000000,1375570000000000,384124000000000,3.41512E+016
131579,756740000000000,1316310000000000,361940000000000,3.21789E+016
132578,714965000000000,1207130000000000,321985000000000,2.86267E+016
132789,706443000000000,1185260000000000,314130000000000,2.79282E+016
133093,694313000000000,1154370000000000,305942000000000,2.69494E+016
133548,676617000000000,1109810000000000,294132000000000,2.55536E+016
